cell_hash,B,T_max_s,k,lambda_bg,user_idx,days_to_fp_alpha,days_to_fp_censored,intersect_final,rep_acc_final,posterior_R_final
054eadb793a2,5,30,3,100,0,7,True,12,0.5,0.009967517518013662
054eadb793a2,5,30,3,100,1,7,True,164,1.0,0.06258314243160701
054eadb793a2,5,30,3,100,2,7,True,37,0.8,0.0014753543561442303
054eadb793a2,5,30,3,100,3,7,True,43,0.8,0.01675623483238002
054eadb793a2,5,30,3,100,4,7,True,40,0.5,0.006073350422062255
054eadb793a2,5,30,3,100,5,7,True,26,0.4,0.009397237292395328
054eadb793a2,5,30,3,100,6,7,True,34,0.8,0.006747619729900383
054eadb793a2,5,30,3,100,7,7,True,35,0.7,0.4945199300296205
054eadb793a2,5,30,3,100,8,7,True,27,0.6,0.004049303071345275
054eadb793a2,5,30,3,100,9,7,True,81,0.6,0.04066961310783262
054eadb793a2,5,30,3,100,10,7,True,16,0.4,0.08107323381126265
054eadb793a2,5,30,3,100,11,7,True,33,0.7,0.00782603533953313
054eadb793a2,5,30,3,100,12,7,True,48,0.6,0.011273752190173483
054eadb793a2,5,30,3,100,13,7,True,23,0.7,0.025195517384071078
054eadb793a2,5,30,3,100,14,7,True,53,0.5,0.18028673943106532
054eadb793a2,5,30,3,100,15,7,True,14,0.3,0.0071575450487548625
054eadb793a2,5,30,3,100,16,7,True,42,0.7,0.008604440369096581
054eadb793a2,5,30,3,100,17,7,True,122,0.9,0.08838014182270011
054eadb793a2,5,30,3,100,18,7,True,15,0.5,0.008119616877993835
054eadb793a2,5,30,3,100,19,7,True,85,0.5,0.06524378710557655
054eadb793a2,5,30,3,100,20,7,True,24,0.4,0.05480862975515424
054eadb793a2,5,30,3,100,21,7,True,35,0.5,0.04938488041473323
054eadb793a2,5,30,3,100,22,7,True,84,0.6,0.08059834246502254
054eadb793a2,5,30,3,100,23,7,True,14,0.6,0.07009756137173033
054eadb793a2,5,30,3,100,24,7,True,21,0.6,0.0012128898829980692
054eadb793a2,5,30,3,100,25,7,True,47,1.0,0.09420636859134815
054eadb793a2,5,30,3,100,26,6,False,9,0.2,0.07332268814207872
054eadb793a2,5,30,3,100,27,7,True,130,0.8,0.047744616248704325
054eadb793a2,5,30,3,100,28,7,True,26,0.7,0.006335078949634588
054eadb793a2,5,30,3,100,29,7,True,89,0.5,0.004107977689349247
61c66f7a4e97,5,300,3,100,0,7,True,28,0.7,0.07675689473578169
61c66f7a4e97,5,300,3,100,1,7,True,99,0.6,0.02773950273720081
61c66f7a4e97,5,300,3,100,2,7,True,16,0.6,0.0224026463660344
61c66f7a4e97,5,300,3,100,3,7,True,23,0.4,0.00371646665215628
61c66f7a4e97,5,300,3,100,4,7,True,26,0.6,0.010558643911152948
61c66f7a4e97,5,300,3,100,5,7,True,79,0.9,0.003822778803962195
61c66f7a4e97,5,300,3,100,6,7,True,51,0.6,0.006344355190608109
61c66f7a4e97,5,300,3,100,7,7,True,55,0.7,0.0030924887903776743
61c66f7a4e97,5,300,3,100,8,7,True,39,0.6,0.0035858595499039547
61c66f7a4e97,5,300,3,100,9,7,True,52,0.5,0.16831631731844512
61c66f7a4e97,5,300,3,100,10,7,True,82,0.9,0.38253592812952414
61c66f7a4e97,5,300,3,100,11,7,True,82,0.5,0.00469346009086936
61c66f7a4e97,5,300,3,100,12,7,True,30,0.6,0.09872303014438971
61c66f7a4e97,5,300,3,100,13,7,True,870,1.0,0.004518057092486619
61c66f7a4e97,5,300,3,100,14,7,True,65,0.7,0.03570720889036704
61c66f7a4e97,5,300,3,100,15,7,True,21,0.6,0.024224619050816774
61c66f7a4e97,5,300,3,100,16,7,True,36,0.5,0.005864566439442911
61c66f7a4e97,5,300,3,100,17,6,False,7,0.5,0.10070230279438187
61c66f7a4e97,5,300,3,100,18,7,True,51,0.8,0.16561801045498936
61c66f7a4e97,5,300,3,100,19,7,True,11,0.5,0.14996310672488092
61c66f7a4e97,5,300,3,100,20,7,True,11,0.4,0.630933883581131
61c66f7a4e97,5,300,3,100,21,7,True,16,0.7,0.01683400702922785
61c66f7a4e97,5,300,3,100,22,7,True,96,0.6,0.3848449023314286
61c66f7a4e97,5,300,3,100,23,7,True,55,0.6,0.05082005234957675
61c66f7a4e97,5,300,3,100,24,7,True,21,0.6,0.0033572006948599294
61c66f7a4e97,5,300,3,100,25,7,True,19,0.4,0.008704009988297828
61c66f7a4e97,5,300,3,100,26,7,True,22,0.7,0.0005179587967524444
61c66f7a4e97,5,300,3,100,27,7,True,58,0.9,7.705214421619546e-05
61c66f7a4e97,5,300,3,100,28,7,True,34,0.8,0.04959983211911449
61c66f7a4e97,5,300,3,100,29,7,True,12,0.4,0.002953787742658703
ce4043960408,5,1800,3,100,0,7,True,34,0.6,0.0013024759288347424
ce4043960408,5,1800,3,100,1,7,True,41,0.8,0.14819717510070246
ce4043960408,5,1800,3,100,2,7,True,34,0.4,0.27333589819267085
ce4043960408,5,1800,3,100,3,7,True,15,0.6,0.01141672659528053
ce4043960408,5,1800,3,100,4,7,True,209,0.8,0.07063848750398243
ce4043960408,5,1800,3,100,5,7,True,86,0.6,0.0032451593359491904
ce4043960408,5,1800,3,100,6,7,True,16,0.5,0.001604498555045594
ce4043960408,5,1800,3,100,7,7,True,87,0.7,0.0055006814997357045
ce4043960408,5,1800,3,100,8,7,True,24,0.7,0.013385542603800456
ce4043960408,5,1800,3,100,9,7,True,67,0.7,0.062299942947348176
ce4043960408,5,1800,3,100,10,7,True,21,0.2,0.00834870081491791
ce4043960408,5,1800,3,100,11,7,True,49,0.7,0.1291071582061594
ce4043960408,5,1800,3,100,12,7,True,94,0.6,0.0029628773781384334
ce4043960408,5,1800,3,100,13,7,True,117,0.7,0.0016130216283511743
ce4043960408,5,1800,3,100,14,7,True,79,0.7,0.18100031610969416
ce4043960408,5,1800,3,100,15,7,True,28,0.6,0.010059922122603907
ce4043960408,5,1800,3,100,16,7,True,17,0.7,0.00589041822466564
ce4043960408,5,1800,3,100,17,7,True,81,0.7,0.09758152498486959
ce4043960408,5,1800,3,100,18,7,True,15,0.4,0.01907102989626307
ce4043960408,5,1800,3,100,19,7,True,79,0.5,0.0011005249409597143
ce4043960408,5,1800,3,100,20,7,True,36,0.6,0.028803337673268734
ce4043960408,5,1800,3,100,21,7,True,60,0.8,0.012010086727179174
ce4043960408,5,1800,3,100,22,5,False,10,0.6,0.03894329345170528
ce4043960408,5,1800,3,100,23,7,True,23,0.7,0.00046595492608137557
ce4043960408,5,1800,3,100,24,7,True,30,0.9,0.08846388430539545
ce4043960408,5,1800,3,100,25,7,True,19,0.4,0.014671304032760384
ce4043960408,5,1800,3,100,26,7,True,14,0.5,0.002737361467617348
ce4043960408,5,1800,3,100,27,7,True,19,0.4,0.037647276970632096
ce4043960408,5,1800,3,100,28,7,True,71,0.5,0.027319820335828342
ce4043960408,5,1800,3,100,29,7,True,50,0.8,0.012842304973373558
1888da9f0bff,10,30,3,100,0,7,True,104,0.4,0.038810316061843715
1888da9f0bff,10,30,3,100,1,7,True,801,0.6,0.0032515732542584847
1888da9f0bff,10,30,3,100,2,7,True,14,0.5,0.015077965506120422
1888da9f0bff,10,30,3,100,3,7,True,152,0.7,0.0008061015215065448
1888da9f0bff,10,30,3,100,4,7,True,77,0.8,0.17996860974468046
1888da9f0bff,10,30,3,100,5,7,True,104,0.7,0.06614995466851388
1888da9f0bff,10,30,3,100,6,7,True,13,0.7,0.007760089488139518
1888da9f0bff,10,30,3,100,7,7,True,83,0.5,0.1077922311944034
1888da9f0bff,10,30,3,100,8,7,True,33,0.3,0.011306541355167215
1888da9f0bff,10,30,3,100,9,7,True,23,0.8,0.14694482535352826
1888da9f0bff,10,30,3,100,10,7,False,7,0.5,0.30968878343101075
1888da9f0bff,10,30,3,100,11,7,True,83,0.5,0.08024277195036461
1888da9f0bff,10,30,3,100,12,7,True,880,1.0,0.004144165246152949
1888da9f0bff,10,30,3,100,13,7,True,58,0.9,0.0017179627327392874
1888da9f0bff,10,30,3,100,14,7,True,120,0.7,0.04061363408600781
1888da9f0bff,10,30,3,100,15,7,True,26,0.5,0.20669388836138294
1888da9f0bff,10,30,3,100,16,7,True,19,0.6,0.0739014947866481
1888da9f0bff,10,30,3,100,17,7,True,89,0.7,0.26711214565048025
1888da9f0bff,10,30,3,100,18,7,True,36,0.7,0.05789298259189934
1888da9f0bff,10,30,3,100,19,7,True,81,0.8,0.09648114712673264
1888da9f0bff,10,30,3,100,20,7,True,82,0.6,0.02184341284848141
1888da9f0bff,10,30,3,100,21,7,True,85,0.8,0.00947097703358402
1888da9f0bff,10,30,3,100,22,7,True,26,0.6,0.28433626023803454
1888da9f0bff,10,30,3,100,23,7,True,15,0.4,0.3670361112085114
1888da9f0bff,10,30,3,100,24,7,True,33,0.5,0.10105359872821247
1888da9f0bff,10,30,3,100,25,7,True,11,0.4,0.15915018487785984
1888da9f0bff,10,30,3,100,26,7,True,15,0.5,0.3373665326575561
1888da9f0bff,10,30,3,100,27,7,True,56,0.6,0.0028602736096455155
1888da9f0bff,10,30,3,100,28,7,True,54,0.6,0.05059531514598041
1888da9f0bff,10,30,3,100,29,7,True,306,0.9,0.001255429222480454
9ed12df1fc4c,10,300,3,100,0,7,True,26,0.5,0.0395819507460574
9ed12df1fc4c,10,300,3,100,1,7,True,32,0.5,0.007076517905223971
9ed12df1fc4c,10,300,3,100,2,7,True,46,0.6,0.04473795215480795
9ed12df1fc4c,10,300,3,100,3,7,True,306,0.5,0.050478433451163804
9ed12df1fc4c,10,300,3,100,4,7,True,118,0.7,0.03182855185078967
9ed12df1fc4c,10,300,3,100,5,7,True,384,0.7,0.04414300720521342
9ed12df1fc4c,10,300,3,100,6,7,True,14,0.4,0.02907819248955101
9ed12df1fc4c,10,300,3,100,7,7,True,29,0.6,0.08050261546071776
9ed12df1fc4c,10,300,3,100,8,7,True,37,0.5,0.04519961342605661
9ed12df1fc4c,10,300,3,100,9,7,True,88,0.7,0.007432420742395269
9ed12df1fc4c,10,300,3,100,10,7,False,10,0.4,0.03238821247332365
9ed12df1fc4c,10,300,3,100,11,7,True,63,0.8,0.0557753675005312
9ed12df1fc4c,10,300,3,100,12,7,True,38,0.7,0.29120813932806405
9ed12df1fc4c,10,300,3,100,13,7,True,71,0.8,0.03844257777051578
9ed12df1fc4c,10,300,3,100,14,7,True,42,0.6,0.04473985459566642
9ed12df1fc4c,10,300,3,100,15,7,True,41,0.6,0.21901661083429247
9ed12df1fc4c,10,300,3,100,16,7,True,58,0.9,0.003780270302986909
9ed12df1fc4c,10,300,3,100,17,7,True,38,0.7,0.0029462400593083925
9ed12df1fc4c,10,300,3,100,18,7,False,6,0.3,0.07051371185677263
9ed12df1fc4c,10,300,3,100,19,7,True,63,0.7,0.008365577297746458
