site,run,strategy,main_dns_ms,total_dns_sum_ms,wall_clock_dns_ms,page_load_ms,unique_domains_resolved
webshell.suite.office.com,1,odoh,54.701,54.701,54.701,182.5,1
aadcdn.msauth.net,1,odoh,57.16,57.16,57.16,467.79999923706055,1
app-analytics-services-att.com,1,odoh,0.0,27.182,27.182000000000016,296.3000011444092,1
fastly.net,1,odoh,50.391,1627.8290000000004,922.4459999999998,1003.8999996185303,45
cms.quantserve.com,1,odoh,18.566,18.566,18.566,82.79999923706055,1
calendar.google.com,1,odoh,0.0,26.476,26.476,732.1000003814697,1
clients2.googleusercontent.com,1,odoh,0.0,25.82,25.819999999999993,178.79999923706055,1
applovin.com,1,odoh,27.186,107.109,82.29300000000003,571.6999988555908,4
events.launchdarkly.com,1,odoh,25.533,25.533,25.533,88.30000114440918,1
hotjar.com,1,odoh,56.186,1325.552,855.3580000000001,2384.800001144409,38
android.com,1,odoh,0.0,218.625,184.92500000000018,1958.099998474121,8
pull-f5-tt01.tiktokcdn-us.com,1,odoh,27.099,27.099,27.099,165,1
cds.apple.com,1,odoh,26.68,26.68,26.68,336.3999996185303,1
mediaservices.cdn-apple.com,1,odoh,26.651,26.651,26.651,138.60000038146973,1
mask-api.icloud.com,1,odoh,24.127,24.127,24.127,94.20000076293945,1
ad.doubleclick.net,1,odoh,0.0,233.046,126.37200000000001,907.7000007629395,8
htlb.casalemedia.com,1,odoh,19.985,19.985,19.985,105.89999961853027,1
connatix.com,1,odoh,42.03,733.1289999999999,507.7279999999996,2611.7999992370605,26
cdn.cookielaw.org,1,odoh,25.701,25.701,25.701,219.89999961853027,1
dl.google.com,1,odoh,0.0,282.33799999999997,255.3810000000002,1281.2000007629395,9
agent-app.ninjarmm.com,1,odoh,43.632,43.632,43.632,331.29999923706055,1
www.bing.com,1,odoh,27.813,420.26,318.68399999999986,325.1000003814697,14
pixel.rubiconproject.com,1,odoh,27.282,27.282,27.282,91.20000076293945,1
web.diagnostic.networking.aws.dev,1,odoh,74.437,74.437,74.437,344.5,1
instagram.com,1,odoh,27.703,75.695,75.69499999999991,719.5,3
pixel-sync.sitescout.com,1,odoh,28.975,28.975,28.975,98.10000038146973,1
lcprd1.samsungcloudsolution.net,1,odoh,31.069,31.069,31.069,272.3999996185303,1
temu.com,1,odoh,34.682,264.022,212.723,1108.2000007629395,9
user-sync.fwmrm.net,1,odoh,22.064,22.064,22.064,85.29999923706055,1
geover.prod.do.dsp.mp.microsoft.com,1,odoh,33.009,33.009,33.009,258.29999923706055,1
searchlabspartnerservice-pa.googleapis.com,1,odoh,0.0,18.363,18.363,286.6000003814697,1
www.linkedin.com,1,odoh,19.558,332.033,286.7070000000001,590.1999988555908,12
browser.events.data.microsoft.com,1,odoh,18.425,18.425,18.425,435.6999988555908,1
cc-api-data.adobe.io,1,odoh,28.183,28.183,28.183,125.5,1
lh3.googleusercontent.com,1,odoh,0.0,25.099,25.09899999999999,1079.8000011444092,1
geller-pa.googleapis.com,1,odoh,0.0,27.391,27.39099999999999,248.20000076293945,1
lbs.eu-1-id5-sync.com,1,odoh,19.032,19.032,19.032,357.8999996185303,1
mzstatic.com,1,odoh,17.779,54.296,54.29599999999999,959.1000003814697,3
comodoca.com,1,odoh,19.858,536.261,383.29099999999994,1538.5,22
www.youtube.com,1,odoh,0.0,175.639,134.85399999999996,2214.5,8
ce.lijit.com,1,odoh,34.832,34.832,34.832,115.5,1
dcg.microsoft.com,1,odoh,17.781,17.781,17.781,103.29999923706055,1
doh.dns.apple.com,1,odoh,19.749,19.749,19.749,103.5,1
sync.taboola.com,1,odoh,19.2,19.2,19.2,105.39999961853027,1
conviva.com,1,odoh,34.924,329.25300000000004,271.1949999999998,2545.2000007629395,13
gspe79-ssl.ls.apple.com,1,odoh,18.961,18.961,18.961,131.79999923706055,1
thrtle.com,1,odoh,21.268,21.268,21.268,89.19999885559082,1
adjust.com,1,odoh,26.333,853.466,490.13000000000017,854.6000003814697,35
r4.res.office365.com,1,odoh,22.021,22.021,22.021,98,1
contextual.media.net,1,odoh,23.284,475.18199999999996,219.59199999999976,2485.5,21
device.autopatch.microsoft.com,1,odoh,21.837,21.837,21.837,165.30000114440918,1
kinesisvideo.us-west-2.amazonaws.com,1,odoh,18.413,18.413,18.413,315.5,1
chatgpt.com,1,odoh,0.0,17.371,17.37099999999998,400,1
js-agent.newrelic.com,1,odoh,16.426,16.426,16.426,121.80000114440918,1
functional.events.data.microsoft.com,1,odoh,18.279,18.279,18.279,471.6000003814697,1
statics.teams.cdn.office.net,1,odoh,18.902,18.902,18.902,235.39999961853027,1
c.pki.goog,1,odoh,0.0,25.629,25.62900000000002,320,1
dual-s-ring-fallback.msedge.net,1,odoh,24.511,24.511,24.511,228.29999923706055,1
fw.adsafeprotected.com,1,odoh,17.189,17.189,17.189,105.20000076293945,1
