cell_hash,user_idx,days_to_fp_alpha,days_to_fp_censored,intersect_final,rep_acc_final,posterior_R_final
83cb2fac599b,0,7,True,75,0.7,0.057717487360977635
83cb2fac599b,1,7,True,825,0.9,0.007349153014847839
83cb2fac599b,2,7,True,79,0.8,0.01740705590014987
83cb2fac599b,3,7,True,140,0.7,0.041531106800150965
83cb2fac599b,4,7,True,155,0.8,0.03945189769347628
83cb2fac599b,5,7,True,318,1.0,0.0036211082564138936
83cb2fac599b,6,7,True,157,0.7,0.05738670745091751
83cb2fac599b,7,7,True,144,1.0,0.030605340175272673
83cb2fac599b,8,7,True,91,0.9,0.119869144169356
83cb2fac599b,9,7,True,56,0.5,0.041786817467618594
83cb2fac599b,10,7,True,91,0.7,0.004759702317142992
83cb2fac599b,11,7,True,127,0.6,0.06343771190059107
83cb2fac599b,12,7,True,108,0.8,0.05468081917114143
83cb2fac599b,13,7,True,137,0.6,0.059341110997097365
83cb2fac599b,14,7,True,52,0.6,0.07874701476988899
83cb2fac599b,15,7,True,133,0.6,0.015305922909458019
83cb2fac599b,16,7,True,155,0.6,0.049976703134919705
83cb2fac599b,17,7,True,114,0.9,0.005612481098013893
83cb2fac599b,18,7,True,171,0.8,0.020765920574198002
83cb2fac599b,19,7,True,86,0.6,0.003946283045038113
83cb2fac599b,20,7,True,136,0.7,0.01496307601920717
83cb2fac599b,21,7,True,172,0.9,0.005855431592420807
83cb2fac599b,22,7,True,93,0.5,0.015072882326084263
83cb2fac599b,23,7,True,23,0.6,0.10615881078656124
83cb2fac599b,24,7,True,184,0.8,0.0097776862056683
83cb2fac599b,25,7,True,153,0.8,0.0009037395352503303
83cb2fac599b,26,7,True,137,0.7,0.0023563177616243284
83cb2fac599b,27,7,True,79,0.6,0.014330151588611987
83cb2fac599b,28,7,True,44,0.4,0.015718430657787764
83cb2fac599b,29,7,True,27,0.6,0.0028138990789198294
f42f642a2a32,0,7,True,26,0.5,0.056437153716111584
f42f642a2a32,1,7,True,42,0.7,0.10154750393916907
f42f642a2a32,2,7,True,819,1.0,0.0055759809317520925
f42f642a2a32,3,5,False,10,0.9,0.9222426106302399
f42f642a2a32,4,7,True,107,0.8,0.9562730319375476
f42f642a2a32,5,7,True,17,0.7,0.32583130518796516
f42f642a2a32,6,7,True,24,0.9,0.015374896611898144
f42f642a2a32,7,7,True,159,1.0,0.49019576907130286
f42f642a2a32,8,7,False,8,0.7,0.2839845020080573
f42f642a2a32,9,7,True,111,0.7,0.12172943600998808
f42f642a2a32,10,7,True,51,0.8,0.7240449324085989
f42f642a2a32,11,7,True,149,0.7,0.00292104171684393
f42f642a2a32,12,7,True,58,0.8,0.00843964676364617
f42f642a2a32,13,7,True,815,0.9,0.005037290251675125
f42f642a2a32,14,7,True,63,0.7,0.0406692317550904
f42f642a2a32,15,7,True,15,1.0,0.986470424776366
f42f642a2a32,16,7,True,45,0.8,0.858287295799686
f42f642a2a32,17,7,True,107,1.0,0.502995679745508
f42f642a2a32,18,3,False,9,0.8,0.959092081816534
f42f642a2a32,19,7,True,44,0.9,0.07987693009154706
f42f642a2a32,20,7,True,99,0.8,0.04830660323752605
f42f642a2a32,21,7,True,11,0.7,0.010219236633963633
f42f642a2a32,22,7,True,18,0.6,0.17994441370354772
f42f642a2a32,23,7,True,80,0.5,0.39184738871680824
f42f642a2a32,24,7,True,15,0.8,0.9622720841793879
f42f642a2a32,25,7,True,236,0.7,0.7901061320967101
f42f642a2a32,26,7,True,283,0.8,0.9596922059022122
f42f642a2a32,27,7,True,79,1.0,0.978995110281733
f42f642a2a32,28,7,True,58,0.9,0.03970928315020087
f42f642a2a32,29,7,True,25,0.9,0.03848499150633325
dc791bb3cf30,0,7,True,18,0.9,0.338642506110518
dc791bb3cf30,1,7,True,59,0.8,0.09430119520787916
dc791bb3cf30,2,7,True,98,0.8,0.43654713832237824
dc791bb3cf30,3,7,True,30,0.8,0.9906938169994539
dc791bb3cf30,4,7,True,72,0.8,0.03952114837206235
dc791bb3cf30,5,7,True,792,0.6,0.0049517170407747755
dc791bb3cf30,6,7,True,72,0.8,0.9642855556816414
dc791bb3cf30,7,7,True,98,0.7,0.2535309832563792
dc791bb3cf30,8,7,True,111,0.8,0.08273238606593196
dc791bb3cf30,9,7,True,112,1.0,0.6187807130093622
dc791bb3cf30,10,7,True,886,0.9,0.006109188568522555
dc791bb3cf30,11,7,True,102,0.8,0.15362562143586866
dc791bb3cf30,12,7,True,134,0.8,0.04371601929276319
dc791bb3cf30,13,7,True,130,0.6,0.006173358080337338
dc791bb3cf30,14,7,True,31,0.4,0.4888221890332437
dc791bb3cf30,15,7,True,102,0.9,0.0563959096228645
dc791bb3cf30,16,7,True,42,0.7,0.053698818064341715
dc791bb3cf30,17,7,True,45,0.8,0.3613265520918327
dc791bb3cf30,18,7,True,51,0.7,1.1171725555076206e-06
dc791bb3cf30,19,7,True,44,1.0,0.11412898722304161
dc791bb3cf30,20,7,True,16,0.8,0.9874113179262204
dc791bb3cf30,21,7,True,19,0.8,0.46410502196112147
dc791bb3cf30,22,7,True,17,0.9,0.9864605433371869
dc791bb3cf30,23,7,True,17,0.9,0.5673005288466876
dc791bb3cf30,24,7,True,21,0.5,0.0370725601931268
dc791bb3cf30,25,7,True,13,0.8,0.992256466610847
dc791bb3cf30,26,7,True,73,0.9,0.03111724824243453
dc791bb3cf30,27,7,True,812,1.0,0.005825199261675683
dc791bb3cf30,28,7,True,113,0.8,0.014935527165467245
dc791bb3cf30,29,7,True,131,0.9,0.10190143767688471
