site,run,strategy,main_dns_ms,total_dns_sum_ms,wall_clock_dns_ms,page_load_ms,unique_domains_resolved
lcprd1.samsungcloudsolution.net,1,doh,12.91,12.91,12.91,253.4000015258789,1
mediaservices.cdn-apple.com,1,doh,18.6,18.6,18.6,144.9000015258789,1
tenable.com,1,doh,14.186,1133.9930000000002,609.8629999999995,2756.6000003814697,72
pull-f5-tt01.tiktokcdn-us.com,1,doh,13.524,13.524,13.524,151.79999923706055,1
vungle.com,1,doh,14.272,579.198,351.4660000000001,2889.5,30
cms.quantserve.com,1,doh,12.996,12.996,12.996,76.89999961853027,1
functional.events.data.microsoft.com,1,doh,14.693,14.693,14.693,246.39999961853027,1
sync.richaudience.com,1,doh,17.429,17.429,17.429,639.2999992370605,1
adjust.com,1,doh,15.724,508.8679999999999,309.05199999999985,712.2000007629395,34
cds.apple.com,1,doh,12.821,12.821,12.821,316.70000076293945,1
www.youtube.com,1,doh,0.0,130.18500000000003,99.87600000000035,2081.3999996185303,9
x.bidswitch.net,1,doh,13.7,13.7,13.7,114.70000076293945,1
ce.lijit.com,1,doh,15.364,15.364,15.364,79.80000114440918,1
connatix.com,1,doh,29.291,374.64399999999995,264.2060000000001,2424.2000007629395,26
web.diagnostic.networking.aws.dev,1,doh,12.733,12.733,12.733,270.1999988555908,1
api.ipify.org,1,doh,12.788,12.788,12.788,98,1
dl.google.com,1,doh,0.0,150.085,121.71000000000004,1223.6000003814697,10
yandex.net,1,doh,29.212,529.558,529.5579999999997,1011.8999996185303,8
js-agent.newrelic.com,1,doh,12.948,12.948,12.948,116.5,1
statics.teams.cdn.office.net,1,doh,19.62,19.62,19.62,284.8000011444092,1
geover.prod.do.dsp.mp.microsoft.com,1,doh,22.767,22.767,22.767,288.79999923706055,1
dcg.microsoft.com,1,doh,14.575,14.575,14.575,101.5,1
android.com,1,doh,0.0,111.843,87.18400000000008,2722.7000007629395,8
searchlabspartnerservice-pa.googleapis.com,1,doh,0.0,12.177,12.176999999999992,250,1
geller-pa.googleapis.com,1,doh,0.0,13.615,13.614999999999995,158.60000038146973,1
cc-api-data.adobe.io,1,doh,15.726,15.726,15.726,80,1
na.api.amazonvideo.com,1,doh,47.556,47.556,47.556,137.89999961853027,1
opera.com,1,doh,14.439,199.642,146.38800000000012,1208.8000011444092,14
search.namequery.com,1,doh,13.188,13.188,13.188,137.10000038146973,1
thrtle.com,1,doh,14.528,14.528,14.528,81.20000076293945,1
btloader.com,1,doh,16.364,16.364,16.364,144.10000038146973,1
comodoca.com,1,doh,20.77,452.95199999999994,335.47300000000035,1634.6999988555908,26
sync.taboola.com,1,doh,16.16,16.16,16.16,105.19999885559082,1
www.bing.com,1,doh,14.274,204.34699999999998,184.90399999999994,369.20000076293945,15
htlb.casalemedia.com,1,doh,14.964,14.964,14.964,93.5999984741211,1
app-analytics-services-att.com,1,doh,0.0,14.766,14.765999999999991,237,1
applovin.com,1,doh,14.215,57.516000000000005,43.349000000000075,540.5,4
events.launchdarkly.com,1,doh,13.983,13.983,13.983,78.5999984741211,1
www.linkedin.com,1,doh,17.377,176.895,169.38899999999967,610.8999996185303,12
user-sync.fwmrm.net,1,doh,14.369,14.369,14.369,124.20000076293945,1
clients2.googleusercontent.com,1,doh,0.0,15.045,15.045000000000002,139.39999961853027,1
pixel.rubiconproject.com,1,doh,15.801,15.801,15.801,81.20000076293945,1
webshell.suite.office.com,1,doh,18.938,18.938,18.938,117.70000076293945,1
r4.res.office365.com,1,doh,20.058,20.058,20.058,94.5999984741211,1
chatgpt.com,1,doh,0.0,12.384,12.384000000000071,358.5,1
static.whatsapp.net,1,doh,13.159,50.982,27.006999999999984,591.2000007629395,3
aadcdn.msauth.net,1,doh,16.156,16.156,16.156,198.80000114440918,1
mask-api.icloud.com,1,doh,14.03,14.03,14.03,84.69999885559082,1
hotjar.com,1,doh,16.779,580.8299999999999,337.6100000000009,1879.3999996185303,37
fw.adsafeprotected.com,1,doh,20.868,20.868,20.868,188.5999984741211,1
conviva.com,1,doh,26.889,228.175,179.97800000000012,2476.199998855591,13
temu.com,1,doh,14.074,110.17900000000002,94.09999999999995,1121.3999996185303,8
device.autopatch.microsoft.com,1,doh,26.939,26.939,26.939,168.29999923706055,1
mzstatic.com,1,doh,13.28,44.116,44.11600000000006,957.1999988555908,3
lbs.eu-1-id5-sync.com,1,doh,14.339,14.339,14.339,347,1
kinesisvideo.us-west-2.amazonaws.com,1,doh,13.476,13.476,13.476,304.79999923706055,1
snapkit.com,1,doh,0.0,115.648,95.07600000000008,868.4000015258789,8
fastly.net,1,doh,13.455,666.4269999999999,349.7430000000002,986.7999992370605,46
browser.events.data.microsoft.com,1,doh,13.372,13.372,13.372,453.79999923706055,1
cdn.cookielaw.org,1,doh,16.484,16.484,16.484,212,1
contextual.media.net,1,doh,14.426,330.75899999999996,171.47600000000028,2404.6000003814697,21
firebaselogging.googleapis.com,1,doh,0.0,11.913,11.913000000000011,237.20000076293945,1
c.pki.goog,1,doh,0.0,11.596,11.596000000000004,212.4000015258789,1
newrelic.com,1,doh,13.613,383.20899999999995,251.00700000000012,1230.2000007629395,26
instagram.com,1,doh,15.724,54.501000000000005,54.50099999999996,975.1000003814697,4
inappcheck.itunes.apple.com,1,doh,14.1,14.1,14.1,123.5,1
doh.dns.apple.com,1,doh,16.032,16.032,16.032,82.10000038146973,1
dual-s-ring-fallback.msedge.net,1,doh,14.921,14.921,14.921,101.79999923706055,1
cornell.edu,1,doh,16.638,276.976,178.1250000000002,1647.8999996185303,14
pixel-sync.sitescout.com,1,doh,12.674,12.674,12.674,82.39999961853027,1
calendar.google.com,1,doh,0.0,12.474,12.47399999999999,586,1
s.amazon-adsystem.com,1,doh,12.685,12.685,12.685,85.20000076293945,1
